Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
137	64	64	64	58.5000	0.9624	0.9609
138	64	64	64	60.5000	0.9953	0.9937
139	64	64	64	60.5000	0.9953	0.9937
140	64	64	64	59.5000	0.9789	0.9773
141	64	64	64	60.5000	0.9953	0.9937
142	64	64	64	59.5000	0.9789	0.9773
143	64	64	64	60.5000	0.9953	0.9937
144	64	64	64	60.5000	0.9953	0.9937
145	64	64	64	60.5000	0.9953	0.9937
146	64	64	64	60.5000	0.9953	0.9937
147	64	64	64	60.5000	0.9953	0.9937
148	64	64	64	60.5000	0.9953	0.9937
149	64	64	64	59.5000	0.9789	0.9773
150	64	64	64	60.5000	0.9953	0.9937
151	64	64	64	59.5000	0.9789	0.9773
152	64	64	64	59.5000	0.9789	0.9773
153	64	64	64	60.5000	0.9953	0.9937
154	64	64	64	60.5000	0.9953	0.9937
155	64	64	64	60.5000	0.9953	0.9937
156	64	64	64	59.5000	0.9789	0.9773
157	64	64	64	60.5000	0.9953	0.9937
158	64	64	64	60.5000	0.9953	0.9937
159	64	64	64	60.5000	0.9953	0.9937
160	64	64	64	60.5000	0.9953	0.9937
161	64	64	64	60.5000	0.9953	0.9937
162	64	64	64	60.5000	0.9953	0.9937
163	64	64	64	60.5000	0.9953	0.9937
164	64	64	64	60.5000	0.9953	0.9937
165	64	64	64	60.5000	0.9953	0.9937
166	64	64	64	60.5000	0.9953	0.9937
167	64	64	64	60.5000	0.9953	0.9937
168	64	64	64	60.5000	0.9953	0.9937
169	64	64	64	59.5000	0.9789	0.9773
170	64	64	64	59.5000	0.9789	0.9773
171	64	64	64	59.5000	0.9789	0.9773
172	64	64	64	60.5000	0.9953	0.9937
173	64	64	64	60.5000	0.9953	0.9937
174	64	64	64	60.5000	0.9953	0.9937
175	64	64	64	59.5000	0.9789	0.9773
176	64	64	64	60.5000	0.9953	0.9937
177	64	64	64	59.5000	0.9789	0.9773
178	64	64	64	59.5000	0.9789	0.9773
179	64	64	64	60.5000	0.9953	0.9937
180	64	64	64	59.5000	0.9789	0.9773
181	64	64	64	60.5000	0.9953	0.9937
182	64	64	64	60.5000	0.9953	0.9937
183	64	64	64	60.5000	0.9953	0.9937
184	64	64	64	60.5000	0.9953	0.9937
185	64	64	64	60.5000	0.9953	0.9937
186	64	64	64	60.5000	0.9953	0.9937
187	64	64	64	60.5000	0.9953	0.9937
188	64	64	64	60.5000	0.9953	0.9937
189	64	64	64	59.5000	0.9789	0.9773
190	64	64	64	60.5000	0.9953	0.9937
191	64	64	64	60.5000	0.9953	0.9937
192	64	64	64	60.5000	0.9953	0.9937
193	64	64	64	59.5000	0.9789	0.9773
194	64	64	64	59.5000	0.9789	0.9773
195	64	64	64	60.5000	0.9953	0.9937
196	64	64	64	60.5000	0.9953	0.9937
197	64	64	64	60.5000	0.9953	0.9937
198	64	64	64	59.5000	0.9789	0.9773
199	64	64	64	60.5000	0.9953	0.9937
200	64	64	64	60.5000	0.9953	0.9937
201	64	64	64	60.5000	0.9953	0.9937
202	64	64	64	60.5000	0.9953	0.9937
203	64	64	64	60.5000	0.9953	0.9937
204	64	64	64	60.5000	0.9953	0.9937
205	64	64	64	59.5000	0.9789	0.9773
206	64	64	64	60.5000	0.9953	0.9937
207	64	64	64	59.5000	0.9789	0.9773
208	64	64	64	59.5000	0.9789	0.9773
209	64	64	64	60.5000	0.9953	0.9937
210	64	64	64	60.5000	0.9953	0.9937
211	64	64	64	60.5000	0.9953	0.9937
212	64	64	64	60.5000	0.9953	0.9937
213	64	64	64	60.5000	0.9953	0.9937
214	64	64	64	60.5000	0.9953	0.9937
215	64	64	64	60.5000	0.9953	0.9937
216	64	64	64	60.5000	0.9953	0.9937
217	64	64	64	60.5000	0.9953	0.9937
218	64	64	64	60.5000	0.9953	0.9937
219	64	64	64	59.5000	0.9789	0.9773
220	64	64	64	60.5000	0.9953	0.9937
221	64	64	64	60.5000	0.9953	0.9937
222	64	64	64	60.5000	0.9953	0.9937
223	64	64	64	60.5000	0.9953	0.9937
224	64	64	64	60.5000	0.9953	0.9937
225	64	64	64	60.5000	0.9953	0.9937
226	64	64	64	60.5000	0.9953	0.9937
227	64	64	64	60.5000	0.9953	0.9937
228	64	64	64	60.5000	0.9953	0.9937
229	64	64	64	60.5000	0.9953	0.9937
230	64	64	64	60.5000	0.9953	0.9937
231	64	64	64	59.5000	0.9789	0.9773
232	64	64	64	60.5000	0.9953	0.9937
233	64	64	64	60.5000	0.9953	0.9937
234	64	64	64	59.5000	0.9789	0.9773
235	64	64	64	60.5000	0.9953	0.9937
236	64	64	64	60.5000	0.9953	0.9937
237	64	64	64	60.5000	0.9953	0.9937
238	64	64	64	59.5000	0.9789	0.9773
239	64	64	64	59.5000	0.9789	0.9773
240	64	64	64	60.5000	0.9953	0.9937
241	64	64	64	60.5000	0.9953	0.9937
242	64	64	64	60.5000	0.9953	0.9937
243	64	64	64	60.5000	0.9953	0.9937
244	64	64	64	60.5000	0.9953	0.9937
245	64	64	64	60.5000	0.9953	0.9937
246	64	64	64	60.5000	0.9953	0.9937
247	64	64	64	60.5000	0.9953	0.9937
248	64	64	64	60.5000	0.9953	0.9937
249	64	64	64	60.5000	0.9953	0.9937
250	64	64	64	60.5000	0.9953	0.9937
251	64	64	64	60.5000	0.9953	0.9937
252	64	64	64	59.5000	0.9789	0.9773
253	64	64	64	60.5000	0.9953	0.9937
254	64	64	64	60.5000	0.9953	0.9937
255	64	64	64	60.5000	0.9953	0.9937
256	64	64	64	59.5000	0.9789	0.9773
257	64	64	64	59.5000	0.9789	0.9773
258	64	64	64	60.5000	0.9953	0.9937
259	64	64	64	59.5000	0.9789	0.9773
260	64	64	64	60.5000	0.9953	0.9937
261	64	64	64	60.5000	0.9953	0.9937
262	64	64	64	60.5000	0.9953	0.9937
263	64	64	64	60.5000	0.9953	0.9937
264	64	64	64	60.5000	0.9953	0.9937
265	64	64	64	60.5000	0.9953	0.9937
266	64	64	64	60.5000	0.9953	0.9937
267	64	64	64	60.5000	0.9953	0.9937
268	64	64	64	60.5000	0.9953	0.9937
269	64	64	64	60.5000	0.9953	0.9937
270	64	64	64	60.5000	0.9953	0.9937
271	64	64	64	60.5000	0.9953	0.9937
272	64	64	64	59.5000	0.9789	0.9773
273	64	64	64	59.5000	0.9789	0.9773
274	64	64	64	60.5000	0.9953	0.9937
275	64	64	64	60.5000	0.9953	0.9937
276	64	64	64	59.5000	0.9789	0.9773
277	64	64	64	59.5000	0.9789	0.9773
278	64	64	64	60.5000	0.9953	0.9937
279	64	64	64	60.5000	0.9953	0.9937
280	64	64	64	60.5000	0.9953	0.9937
281	64	64	64	58.5000	0.9624	0.9609
282	64	64	64	60.5000	0.9953	0.9937
283	64	64	64	60.5000	0.9953	0.9937
284	64	64	64	59.5000	0.9789	0.9773
285	64	64	64	60.5000	0.9953	0.9937
286	64	64	64	60.5000	0.9953	0.9937
287	64	64	64	60.5000	0.9953	0.9937
288	64	64	64	60.5000	0.9953	0.9937
289	64	64	64	60.5000	0.9953	0.9937
290	64	64	64	59.5000	0.9789	0.9773
291	64	64	64	60.5000	0.9953	0.9937
292	64	64	64	60.5000	0.9953	0.9937
293	64	64	64	59.5000	0.9789	0.9773
294	64	64	64	60.5000	0.9953	0.9937
295	64	64	64	60.5000	0.9953	0.9937
296	64	64	64	60.5000	0.9953	0.9937
297	64	64	64	60.5000	0.9953	0.9937
298	64	64	64	60.5000	0.9953	0.9937
299	64	64	64	60.5000	0.9953	0.9937
300	64	64	64	60.5000	0.9953	0.9937
301	64	64	64	60.5000	0.9953	0.9937
302	64	64	64	60.5000	0.9953	0.9937
303	64	64	64	60.5000	0.9953	0.9937
304	64	64	64	58.5000	0.9624	0.9609
305	64	64	64	59.5000	0.9789	0.9773
306	64	64	64	60.5000	0.9953	0.9937
307	64	64	64	59.5000	0.9789	0.9773
308	64	64	64	60.5000	0.9953	0.9937
309	64	64	64	60.5000	0.9953	0.9937
310	64	64	64	60.5000	0.9953	0.9937
311	64	64	64	60.5000	0.9953	0.9937
312	64	64	64	60.5000	0.9953	0.9937
313	64	64	64	60.5000	0.9953	0.9937
314	64	64	64	59.5000	0.9789	0.9773
315	64	64	64	60.5000	0.9953	0.9937
316	64	64	64	60.5000	0.9953	0.9937
317	64	64	64	60.5000	0.9953	0.9937
318	64	64	64	60.5000	0.9953	0.9937
319	64	64	64	60.5000	0.9953	0.9937
320	64	64	64	59.5000	0.9789	0.9773
321	64	64	64	60.5000	0.9953	0.9937
322	64	64	64	60.5000	0.9953	0.9937
323	64	64	64	60.5000	0.9953	0.9937
324	64	64	64	60.5000	0.9953	0.9937
325	64	64	64	60.5000	0.9953	0.9937
326	64	64	64	60.5000	0.9953	0.9937
327	64	64	64	60.5000	0.9953	0.9937
328	64	64	64	60.5000	0.9953	0.9937
329	64	64	64	60.5000	0.9953	0.9937
330	64	64	64	60.5000	0.9953	0.9937
331	64	64	64	59.5000	0.9789	0.9773
332	64	64	64	60.5000	0.9953	0.9937
333	64	64	64	59.5000	0.9789	0.9773
334	64	64	64	59.5000	0.9789	0.9773
335	64	64	64	60.5000	0.9953	0.9937
336	64	64	64	60.5000	0.9953	0.9937
337	64	64	64	60.5000	0.9953	0.9937
338	64	64	64	60.5000	0.9953	0.9937
339	64	64	64	59.5000	0.9789	0.9773
340	64	64	64	60.5000	0.9953	0.9937
341	64	64	64	60.5000	0.9953	0.9937
342	64	64	64	59.5000	0.9789	0.9773
343	64	64	64	60.5000	0.9953	0.9937
344	64	64	64	60.5000	0.9953	0.9937
345	64	64	64	59.5000	0.9789	0.9773
346	64	64	64	60.5000	0.9953	0.9937
347	64	64	64	59.5000	0.9789	0.9773
348	64	64	64	60.5000	0.9953	0.9937
349	64	64	64	60.5000	0.9953	0.9937
350	64	64	64	60.5000	0.9953	0.9937
351	64	64	64	60.5000	0.9953	0.9937
352	64	64	64	58.5000	0.9624	0.9609
