Tree	Tree_taxa	RefTree_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
137	64	64	64	499.0000	1.0032	0.6967
138	64	64	64	560.0000	1.1258	0.7819
139	64	64	64	522.0000	1.0494	0.7289
140	64	64	64	564.0000	1.1338	0.7875
141	64	64	64	552.0000	1.1097	0.7707
142	64	64	64	487.0000	0.9790	0.6800
143	64	64	64	546.0000	1.0976	0.7624
144	64	64	64	496.0000	0.9971	0.6926
145	64	64	64	579.0000	1.1640	0.8084
146	64	64	64	542.0000	1.0896	0.7568
147	64	64	64	608.0000	1.2223	0.8489
148	64	64	64	539.0000	1.0836	0.7526
149	64	64	64	549.0000	1.1037	0.7666
150	64	64	64	575.0000	1.1559	0.8029
151	64	64	64	550.0000	1.1057	0.7680
152	64	64	64	524.0000	1.0534	0.7316
153	64	64	64	532.0000	1.0695	0.7428
154	64	64	64	534.0000	1.0735	0.7456
155	64	64	64	544.0000	1.0936	0.7596
156	64	64	64	535.0000	1.0755	0.7470
157	64	64	64	506.0000	1.0172	0.7065
158	64	64	64	484.0000	0.9730	0.6758
159	64	64	64	533.0000	1.0715	0.7442
160	64	64	64	537.0000	1.0795	0.7498
161	64	64	64	586.0000	1.1780	0.8182
162	64	64	64	549.0000	1.1037	0.7666
163	64	64	64	577.0000	1.1600	0.8057
164	64	64	64	527.0000	1.0594	0.7358
165	64	64	64	543.0000	1.0916	0.7582
166	64	64	64	550.0000	1.1057	0.7680
167	64	64	64	545.0000	1.0956	0.7610
168	64	64	64	585.0000	1.1760	0.8168
169	64	64	64	522.0000	1.0494	0.7289
170	64	64	64	579.0000	1.1640	0.8084
171	64	64	64	543.0000	1.0916	0.7582
172	64	64	64	572.0000	1.1499	0.7987
173	64	64	64	528.0000	1.0614	0.7372
174	64	64	64	543.0000	1.0916	0.7582
175	64	64	64	537.0000	1.0795	0.7498
176	64	64	64	494.0000	0.9931	0.6898
177	64	64	64	514.0000	1.0333	0.7177
178	64	64	64	556.0000	1.1177	0.7763
179	64	64	64	526.0000	1.0574	0.7344
180	64	64	64	560.0000	1.1258	0.7819
181	64	64	64	552.0000	1.1097	0.7707
182	64	64	64	574.0000	1.1539	0.8015
183	64	64	64	496.0000	0.9971	0.6926
184	64	64	64	530.0000	1.0655	0.7400
185	64	64	64	542.0000	1.0896	0.7568
186	64	64	64	555.0000	1.1157	0.7749
